Time,QR Code,Result
2025-10-10 13:43:59,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 15:37:32,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 15:43:34,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 15:44:09,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 15:49:31,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 15:49:39,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 16:03:08,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 16:03:15,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 16:04:10,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:06:56,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:07:10,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 16:33:52,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 16:34:08,DLT_FFB0412EN-00J7Y_1092676-01_320600602,FAIL
2025-10-10 16:34:17,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:34:27,DLT_FFB0412EN-00J7Y_1092676-01_320600602,FAIL
2025-10-10 16:34:34,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:34:45,DLT_FFB0412EN-00J7Y_1092676-01_320600602,FAIL
2025-10-10 16:34:59,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:38:09,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:38:37,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:38:51,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 16:40:00,DLT_FFB0412EN-00J7Y_1092676-01_320600602,FAIL
2025-10-10 17:15:56,DLT_FFB0412EN-00J7Y_1092676-01_320600602,PASS
2025-10-10 17:16:12,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
2025-10-10 17:16:19,DLT_FFB0412EN-00J7Y_1092676-01_282900026,FAIL
