Time,QR Code,Result
2025-09-10 18:02:57,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 18:17:07,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 18:56:25,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 18:57:45,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 19:04:06,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 19:04:11,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:12:18,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:21:02,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:21:20,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:21:25,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:21:33,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:29:30,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:29:54,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:30:44,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:32:40,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:32:43,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:38:34,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:38:46,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:38:51,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:39:03,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:39:15,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:39:21,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:39:35,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:44:20,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:44:30,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 15:51:42,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:00:27,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:08:59,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:09:07,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:17:52,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:17:59,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:28:46,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:28:55,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:39:10,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:39:31,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:40:00,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:40:08,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:40:19,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:53:57,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:54:06,DTADQ5DC44B1105853A03IN,PASS
2025-09-12 16:54:39,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:06:54,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:07:20,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:07:55,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:08:16,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:16:18,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:27:26,DTADQ5DC44B1105853A03IN,FAIL
2025-09-15 08:27:33,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:27:45,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:33:43,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:34:00,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:52:49,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:53:03,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 08:53:18,DTADQ5DC44B1105853A03IN,PASS
