Time,QR Code,Result
2025-08-26 12:07:39,-DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 12:08:02,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 13:53:57,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 13:54:12,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 14:01:38,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 14:01:54,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 14:03:04,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 16:18:17,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:18:37,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:18:40,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:18:47,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:19:42,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:19:46,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:19:53,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:19:59,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:20:11,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:27:35,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:27:38,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:27:42,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:27:51,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:06:44,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:06:46,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:06:49,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:06:49,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:14:20,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:14:23,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:14:27,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:14:59,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:15:33,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:16:08,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:16:12,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:13:46,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:13:52,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:16:36,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:18:06,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:18:12,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:18:56,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:26:27,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:26:43,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:28:29,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 18:40:47,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:22:47,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:25:56,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:26:03,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:20,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:22,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:24,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:25,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:29,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:31,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:33,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:35,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:40,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:49,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:53,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:49:57,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:50:03,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:50:05,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:50:06,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:50:14,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:51:28,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 08:51:41,sssssssssssssssssss,PASS
2025-08-27 08:59:17,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:00:05,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:00:08,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:00:10,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:05:43,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:07:24,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:07:28,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:07:30,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:07:33,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:07:54,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:07:56,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:07:58,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:22:42,D,PASS
2025-08-27 09:34:54,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:35:04,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:35:13,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:35:22,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:35:28,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:45:46,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:45:50,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:45:58,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:46:06,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:46:13,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:46:18,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:46:23,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:46:30,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:46:50,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:46:55,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:59:04,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 09:59:09,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:00:06,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:00:14,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:06:00,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:21:00,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:21:02,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:27:46,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:34:07,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:48:27,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:48:32,DTADQ5DC44B1105853A03IN,PASS
