Time,QR Code,Result
2025-09-01 10:46:07,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:47:09,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:47:16,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:47:22,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:47:42,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:47:54,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:50:43,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:55:36,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 10:55:57,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:02:04,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:02:13,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:02:21,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:05:32,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:06:32,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:48:58,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:50:48,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:51:04,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:52:21,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:56:45,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:56:56,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:59:23,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 11:59:43,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 12:00:02,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 12:03:16,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 12:03:59,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 12:04:09,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 12:06:10,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 12:13:32,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 12:18:17,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:18:24,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:18:44,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:18:52,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:30:18,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:30:29,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:32:11,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:32:33,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:33:20,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:35:00,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:36:29,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:36:34,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 13:36:40,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:03:39,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:03:52,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:13:41,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:20:55,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:21:10,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:26:35,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:31:35,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:31:55,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:32:46,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:32:55,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:33:05,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 14:33:25,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 16:50:52,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 16:51:07,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 16:55:36,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 16:55:43,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 16:56:10,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 17:02:54,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 17:03:02,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 17:11:16,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 17:12:46,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 17:16:31,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 17:59:55,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 18:06:40,DTADQ5DC44B1105853A03IN,PASS
2025-09-01 18:57:48,DTADQ5DC44B1105853A03IN,PASS
