Time,QR Code,Result
2025-08-01 07:37:52,,PASS
2025-08-01 07:38:11,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 07:38:38,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 07:38:49,DTADQ5DC44B11054O3A027,PASS
2025-08-01 07:48:19,ฏธฤฏ๐ถฏฉภภฺๅๅจถภฯ-ฤจ/ึ-,PASS
2025-08-01 07:48:33,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 07:52:14,ฏธฤฏ๐ถฏฉภภฺๅๅจถภฯ-ฤจ/ึ-,PASS
2025-08-01 08:28:33,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 08:28:44,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 08:29:23,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 08:29:40,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 08:31:40,DTADQ5DC44B11054O3A0273,PASS
2025-08-01 08:32:00,DTADQ5DC44B11054O3A0273,PASS
2025-08-04 11:48:11,DTADQ5DC44B11054O3A0273,PASS
2025-08-04 11:48:47,DTADQ5DC44B11054O3A0273,PASS
2025-08-26 09:52:14,DTADQ5DC44B12658M3A1H,PASS
2025-08-26 09:52:29,DTADQ5DC44B12658M3A01UH,PASS
2025-08-26 09:52:49,DTADQDC44B1268M3A01UH,PASS
2025-08-26 09:52:57,DTADQ5DC44B12658M3A01UH,PASS
2025-08-26 10:12:02,DTADQ5DC44B12658M3A01UW,PASS
2025-08-26 10:13:29,DTADQ5D44B12658M3A01TN,PASS
2025-08-26 10:13:56,DTAD5DC44B1658M3A01TN,PASS
2025-08-26 10:14:05,DTADQ5DC44B12658M3A01TN,PASS
2025-08-26 10:14:23,DTADQ5DC4B12658M0TN,PASS
2025-08-26 10:38:54,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 10:40:23,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 10:45:38,DTADQ5DC44B12658M3A01LK,PASS
2025-08-26 16:17:45,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:18:30,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:26:12,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:26:18,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:27:27,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 16:28:44,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:06:44,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:07:13,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:14:06,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:14:59,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:16:12,DTADQ5DC44B1105853A03IN,PASS
2025-08-26 17:16:14,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:48:29,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:49:32,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:50:06,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:51:19,DTADQ5DC44B1105853A03IN,PASS
2025-08-27 10:51:47,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 18:02:57,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 18:17:07,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 18:56:25,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 18:57:45,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 19:04:06,DTADQ5DC44B1105853A03IN,PASS
2025-09-10 19:04:11,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 18:02:02,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 18:08:31,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 18:08:48,DTADQ5DC44B1105853A03IN,PASS
2025-09-15 18:09:55,DTADQ5DC44B1105853A03IN,PASS
